source_id,title,year,doi_or_pmid,url,access_status,evidence_used
SRC-001,"METTL7A (TMT1A) and METTL7B (TMT1B) Are Responsible for Alkyl S-Thiol Methyl Transferase Activity in Liver",2023,"10.1124/dmd.123.001268; PMID 37137720; PMCID PMC10353073",https://pubmed.ncbi.nlm.nih.gov/37137720/,full primary article extracted through figures and methods,"direct TSL kinetics; SAM and SAH kinetics; DCMB IC50; condition-specific substrate screen"
SRC-002,"The Methyltransferases METTL7A and METTL7B Confer Resistance to Thiol-Based Histone Deacetylase Inhibitors",2024,"10.1158/1535-7163.MCT-23-0144; PMID 38151817; PMCID PMC11223745",https://pmc.ncbi.nlm.nih.gov/articles/PMC11223745/,"full final primary article extracted including methods figures and supplements linked by PMC","purified A/B direct LC-MS monomethylation of reduced romidepsin; cellular dimethylated product; differential thiol-HDAC-inhibitor resistance"
SRC-003,"Mechanosensitive Endothelial METTL7A",2026,"10.1161/CIRCULATIONAHA.125.075682; PMID 42578282",https://pubmed.ncbi.nlm.nih.gov/42578282/,"final publication verified; preprint bundle recovered; final supplement documented access-disabled at publisher as of 2026-09-09",d3-SAM to d3-m7G KLF4/NFKBIA evidence
SRC-004,"Induction of m6A methylation in adipocyte exosomal LncRNAs mediates myeloma drug resistance",2022,"10.1186/s13046-021-02209-w; PMID 34980213",https://pubmed.ncbi.nlm.nih.gov/34980213/,PMC/repository source bundle,purified METTL7A/truncation and antibody-based m6A evidence
SRC-005,"METTL7A-mediated m6A modification of corin reverses bisphosphonates-impaired osteogenic differentiation",2024,"10.1038/s41368-024-00303-1; PMID 38782892",https://pubmed.ncbi.nlm.nih.gov/38782892/,PubMed/PMC,cellular CORIN evidence
SRC-006,"PiR48444 inhibits MSC osteogenic differentiation and bone regeneration via targeting METTL7A/eIF4E-mediated BMP2 m6A methylation",2026,"PMID 41611981",https://pubmed.ncbi.nlm.nih.gov/41611981/,PubMed record,cellular BMP2 evidence
SRC-007,"Human METTL7B is an alkyl thiol methyltransferase that metabolizes hydrogen sulfide and captopril",2021,"10.1038/s41598-021-84218-5; PMID 33649426; PMCID PMC7921093",https://pubmed.ncbi.nlm.nih.gov/33649426/,full primary article and numerical figures extracted,"recombinant B substrate/cofactor kinetics; SAH competition; D98A; condition-specific negative screen"
SRC-008,"The thiol methyltransferase activity of TMT1A (METTL7A) is conserved across species",2024,"10.1016/j.cbi.2024.110989; PMID 38574836; PMCID PMC11056289; preprint PMID 38076968",https://pmc.ncbi.nlm.nih.gov/articles/PMC11056289/,"full final primary article extracted; preprint identity retained separately in metadata","five full-length C-terminal-FLAG TMT1A orthologs; cellular resistance to romidepsin KD5170 NCH-51; cellular LC-MS/MS dimethylated romidepsin"
SRC-LAB-001,"Matched netarsudil TSL inhibition result (Dr. Rheem)",2026,unpublished USER/LAB-SUPPLIED,,"authoritative parent value approximately 40 uM; raw curves confidence interval and A assay ceiling absent; supplied recipe: TMT1A/B spheroplast preparation 0.25 mg/mL, 150 uL, TSL 100 uM, SAM 1 mM, D5-TSL 5 uM, DCMB 25 uM listed with role/co-incubation unresolved, 45 min",B IC50 approximately 40 uM with no detectable A inhibition
SRC-LOCAL-001,"METTL7 RNA direct catalysis audit",2026,local repository,research/mettl7-rna-direct-catalysis-audit/RNA_DIRECT_CATALYSIS_AUDIT.md,available,control-level audit and caveats
SRC-LOCAL-002,"METTL7 RNA substrate atlas",2026,local repository,research/mettl7-rna-substrate-atlas/RNA_SUBSTRATE_ATLAS.tsv,available,sites sequences and evidence classes
SRC-LOCAL-003,"METTL7 compound knowledge registry",2026,local repository,research/mettl7-manuscript-evidence-2026-09-04/METTL7_COMPOUND_KNOWLEDGE_REGISTRY_V1.csv,available,small-molecule evidence and supplied assay anchors
SRC-009,"METTL7B Mitigates Hypertension and Vascular Remodeling",2026,"10.1161/CIRCULATIONAHA.126.079407; PMID 42639676",https://pubmed.ncbi.nlm.nih.gov/42639676/,"main paper and 41-page supplement reviewed locally; research/mettl7-independent-audit/sources/publications/chen_2026_mettl7b_circulation_main_apparent.pdf and chen_2026_mettl7b_circulation_supplement_apparent.pdf","recombinant METTL7B RNA m6A assay; FILIP1L; netarsudil activator terminology"
SRC-010,"Methyltransferase-like 7B participates in bladder cancer via ACSL3 m6A modification in a ferroptosis manner",2025,"10.1186/s13062-025-00597-z; PMID 39833962; PMCID PMC11744867",https://pubmed.ncbi.nlm.nih.gov/39833962/,full text reviewed,"cellular MeRIP ACSL3 evidence; no purified direct methyl-transfer assay"
SRC-011,"HOXB4/METTL7B cascade mediates malignant phenotypes of hepatocellular carcinoma through TKT m6A modification",2025,"10.1186/s13062-025-00620-3; PMID 40045399; PMCID PMC11884015",https://pubmed.ncbi.nlm.nih.gov/40045399/,full primary text and supplement linkage inspected,"TKT is cellular m6A-IP/MeRIP-dependent and genetically inferred; no purified-substrate assay"
SRC-012,"METTL7B Is Required for Cancer Cell Proliferation and Tumorigenesis in Non-Small Cell Lung Cancer",2020,"10.3389/fphar.2020.00178; PMID 32180726; PMCID PMC7059849",https://pubmed.ncbi.nlm.nih.gov/32180726/,full text reviewed,"NSCLC phenotype and transcriptomics; paper explicitly states methylation activity was then unestablished"
SRC-013,"Lineage specification in glioblastoma is regulated by METTL7B",2024,"10.1016/j.celrep.2024.114309; PMID 38848215; PMCID PMC11220825",https://pubmed.ncbi.nlm.nih.gov/38848215/,full text and supplement available; primary article reviewed,"lineage and histone/DNA epigenetic phenotype; no direct RNA methyl-transfer claim"
