rank,candidate_change,observed_bottleneck,evidence,proposed_mathematical_change,expected_scientific_benefit,expected_speed_benefit,expected_memory_benefit,expected_state_evaluation_reduction,implementation_difficulty,scientific_risk,smallest_falsifying_experiment,rollback_criterion,recommendation
1,DERIVATIVE_AWARE_PES_OBJECTIVE,"Compressed-region frozen PES has the leading trusted-force discrepancy","At R=1.0 correlated frozen-PES slope misses trusted force by 0.0393 Ha/bohr while SWCT is within 0.00259 Ha/bohr of that slope; current SR objective averages energies only","One preregistered energy-plus-derivative/Sobolev objective with frozen weights and independent geometry holdout","Directly tests whether the shared state can represent correct energy and local slope without endless tuning","May reduce downstream force-estimator/sample work only indirectly","No material change beyond derivative target statistics","None during evaluation; training cost increases because derivative targets are evaluated","HIGH","HIGH: force labels or weights can overfit and smoothness can be physically wrong","One closed baseline-vs-derivative-aware training run with compressed/intermediate holdout and unchanged PES/dissociation gates","Any holdout/PES regression seed fragility or post-hoc weight need","DESIGN_AND_SEPARATELY_AUTHORIZE_FIRST"
2,ANALYTIC_DIFFERENTIAL_SWCT,"Current numerical SWCT evaluates five states/local energies per configuration","360000 evaluations for 72000 samples; mixed d/dR of electronic Laplacian absent; SWCT variance reduction is 572x-2623x","Propagate one nuclear-directional mixed derivative/JVP through the Java graph following differential SWCT; avoid a full third-order tensor","Removes finite-difference truncation and preserves the leading low-variance estimator if equivalence passes","Potentially substantial; compare 5N traversals with N more-expensive fused primal/directional traversals","Target O(D) directional payload per graph node rather than O(D^3) dense third derivatives","Best-case 5N independent state traversals to N fused traversals; wall-time factor must be measured","HIGH","HIGH: cusp stability Jacobian signs units and mixed derivatives","Analytic-state oracle then per-sample H2 comparison across several symmetric FD steps before aggregate timing","Any unexplained term/tail/sign/unit discrepancy or dense third-order storage","HIGH_PRIORITY_DESIGN_AFTER_PES_ATTRIBUTION"
3,FORCE_VARIANCE_MATHEMATICS,"No estimator passes all trusted-force gates and force distributions are pathological","AC-ZVZB best diagnostic RMSE about 0.0217 but fails max error; SWCT low variance but does not repair frozen PES slope","Preregister Linteau acceptance-ratio Pulay and compact HF estimators one intervention at a time","May improve controlled bias/variance once PES-target error is separated","Potential orders-of-magnitude sample reduction; unknown before benchmark","O(1) worker moments plus bounded tail diagnostics","Fewer samples only if uncertainty and bias gates pass","HIGH","HIGH: regularization bias and altered estimator target","Frozen-state R=1.0/1.4/3.0 A/B on identical configurations with full tail/bias/cost audit","Lower variance without accuracy/controlled-bias pass","DESIGN_AFTER_PES_ATTRIBUTION"
4,MATRIX_FREE_SR,"Dense covariance accumulation/solve cannot scale to large neural states","Current code materializes P-by-P matrices and dense elimination; present P=20 is not yet the measured bottleneck","Stream v-><O~(O~T v)>+lambda v and solve by PCG","Same SR direction within locked residual tolerance","O(NP^2+P^3) toward O(KNP)","O(P^2) toward O(P) when streamed; optional O(NP) cached observables","No QM state reduction necessarily; removes pairwise covariance work","MEDIUM","MEDIUM: stochastic conditioning and early solve error","Dense equivalence at P=20 then known-spectrum replay at P=1k/10k","Direction/residual/energy prediction outside tolerance or worse intended-regime cost","PROTOTYPE_AFTER_SCIENCE_GATES"
5,STRUCTURED_SR_PRECONDITIONING,"Matrix-free SR may require too many Krylov iterations","Wavefunction has natural parameter groups; FFX shows architectural value of separating physical preconditioner and iterative solver","Compare diagonal then fixed Jastrow/orbital/geometry/layer blocks; Kronecker approximation only after simpler blocks","No target change; better-conditioned faithful SR solve","Fewer PCG iterations and operator passes","Diagonal O(P); blocks O(sum block_size^2); Kronecker structure-specific","Reduces repeated covariance-operator passes, not state generation unless observables are replayed","MEDIUM_HIGH","MEDIUM: biased/unstable updates if blocks are unjustified","Known-spectrum and frozen H2 replay with locked solve residual and update equivalence","Predominantly bound/regularization controlled behavior or non-reproducible convergence","SEQUENTIAL_ABLATION_ONLY"
6,FUSED_SAMPLE_KERNEL,"Observable-specific paths can repeat valid intermediates","Current dependency graph supports reuse but numerical SWCT still has distinct displaced traversals; one configuration is the expensive unit","One immutable observable request and graph plan producing Psi/logPsi derivatives Laplacian local energy forces and SR statistics","Reduces opportunity for inconsistent duplicate scientific calculations","Avoid duplicate node traversal/allocation; magnitude profile-dependent","Liveness policy retains mandatory nodes and recomputes cheaper large nodes","Count unique graph nodes once per valid state; cannot merge scientifically distinct geometries","HIGH","MEDIUM: false sharing of non-identical states","Node-count/checksum audit on a frozen sample set before/after fusion","Any scientific identity conflation or derivative mismatch","IMPLEMENT_ONLY_AFTER_ANALYTIC_REQUIREMENTS_LOCKED"
7,EXACT_EVIDENCE_SERIALIZATION,"Human decimal formatting caused archival replay stop","Historical %.16g values differ by one ULP at two geometries although physics is unchanged","Persist IEEE-754 bits plus Double.toHexString plus human decimal in a typed checksummed envelope","Exact restart/replay and unambiguous distinction between archival and physical mismatch","Avoids wasted reruns and false stops","Small metadata increase","Prevents recomputation caused solely by lossy serialization","LOW_MEDIUM","LOW if historical files remain immutable","Round-trip edge-value corpus and frozen scalar copies across JSONL restart locale and duplicate resolution","Any finite bit change or identity dependence on presentation decimal","MANDATORY_PROSPECTIVE_FIX_SEPARATE_CHANGE"
8,WORKER_LOCAL_DETERMINISTIC_STATISTICS,"Sequential mutable accumulators limit safe concurrency","Streaming is bounded at 512 but lacks parallel worker-local reduction","Mergeable Welford/pairwise packets with fixed binary reduction tree for energy force SR RHS matvec and uncertainty","Stable moments and deterministic replay","Approaches worker throughput until kernel/bandwidth saturation","O(workers*statistics), no sample cloud","No state reduction; elapsed-time reduction only","MEDIUM","LOW_MEDIUM: floating reduction order","Replay identical stream at 1/2/4 workers with predeclared bit/ULP gate and exact counts","Nondeterminism lost samples or throughput regression","PROTOTYPE_AFTER_KERNEL_QUALIFIES"
9,ADAPTIVE_STATISTICAL_STOPPING,"Fixed 72000 samples over-allocate easy points and may under-allocate hard points","Force variance differs strongly by geometry and estimator","Preregister ESS/autocorrelation-aware confidence stopping with minimum and maximum samples","Equalizes uncertainty rather than raw sample count","Stops easy geometries early; hard geometries may run longer","O(1) mergeable moments plus bounded autocorrelation state","Potentially large sample reduction if empirical coverage passes","MEDIUM","HIGH: optional stopping and heavy-tail undercoverage","Offline prefix replay of frozen streams with no new samples","Undercoverage early false confidence or negligible saving","RESEARCH_AFTER_ESTIMATOR_QUALIFICATION"
10,PARAMETER_RESPONSE_ACCELERATION,"Brute-force response is extremely expensive and non-definitive","3096000 state evaluations per geometry; underdetermined at two points and pathological at one","None until science establishes a required response term; matrix-free implicit response only then","Currently none","Currently none","Avoids allocating/optimizing a scientifically unjustified path","Avoids all additional response evaluations","DEFERRED","HIGH","No experiment authorized","Absence of new scientific necessity","DO_NOT_OPTIMIZE"
11,LOW_LEVEL_MEMORY_VECTORIZATION,"No profile demonstrates off-heap memory/vectorization dominates","Batch 512 bounded memory and no retained electron clouds already pass","Profile qualified kernels first; vector/off-heap changes only against a scientific oracle","None expected","Unknown until profile","Unknown; may reduce allocation or worsen locality","No mathematical state reduction","MEDIUM_HIGH","LOW_MEDIUM: aliasing/numerical-order defects","JFR/allocation and scalar-vs-vector replay after higher-ranked work","Any output change or absent measured bottleneck","DEFER"
