HISTORICAL_RESULT,REPORTED_VALUE,MISSING_ARTIFACT,RECOVERABLE_FROM_EXISTING_DATA,REQUIRES_RECOMPUTATION,COST_TO_REGENERATE,SCIENTIFIC_PRIORITY,CLASSIFICATION
Best Amber CANDIDATE_A_B_C_COMBINED,"energy RMS 2.6996977761394856; sulfur-local force RMS 9.67993783143449; global force RMS 11.691435567324671 kcal/mol/A","26 fitted coefficients; parameter-name vector; standalone final predictions",NO,YES,"low computational cost but constitutes a new refit and requires protocol authorization",HIGH,NON_REPRODUCIBLE_PARAMETER_STATE_MISSING
MIN01 historical CPU PBE/def2-SVP no-D3,"electronic energy -1477.8579032334885 Ha","authoritative standalone 56x3 electronic gradient and its output checksum",NO,YES,"one CPU/GPU analytic-gradient calculation",HIGH,INCOMPLETE_MISSING_DERIVATIVES
Historical CPU 60-point force cloud,"60 total PBE-D3(BJ) energies; total 56x3 gradients and forces","per-point electronic energy; electronic gradient; D3 energy; D3 gradient as independently persisted components",PARTIAL,YES,"60 component-preserving QM evaluations",HIGH,INCOMPLETE_MISSING_COMPONENT_DECOMPOSITION
Homogeneous A100 GPU-60 QM batch,"electronic/D3/total energies; electronic/D3/total gradients; forces for all 60",none identified,YES,NO,none,HIGH,REPRODUCIBLE_COMPONENT_DATA_PRESENT
Delta V2 fits,"CV and full-training metrics; full-training coefficient arrays in V2_TRAINING_RESULTS.json","atomic fit bundle; complete named basis-order mirror; optimizer state/iteration history; fold model states",PARTIAL,YES,"cheap deterministic refit; scientifically a new fit",MEDIUM,INCOMPLETE_MISSING_PROVENANCE
SOAP/GPR benchmark,"fold metrics and coefficient norms","full coefficient vectors; kernel training state; predictions/residual arrays as standalone qualified bundle",NO,YES,"cheap benchmark refit",MEDIUM,INCOMPLETE_MISSING_MODEL_STATE
sGDML benchmark,"fold metrics and selected sigma","trained sGDML model objects/checkpoints; optimizer/training state; qualified artifact checksums",NO,YES,"moderate benchmark refit",MEDIUM,INCOMPLETE_MISSING_MODEL_STATE
MACE READOUT CV,"aggregate/per-fold metrics and selected checkpoint files","scheduler state and complete atomic fit bundles linking every checkpoint to optimizer state, split and selection state",PARTIAL,NO,"existing inference is recoverable; exact continuation may not be",HIGH,INCOMPLETE_MISSING_OPTIMIZER_STATE
MACE custom LoRA rank-1 partial panel,"MIN01 seed metrics and selected adapter checkpoints","complete preregistered panel; complete optimizer/scheduler persistence for selected adapters",PARTIAL,NO,"do not regenerate automatically; study intentionally stopped",MEDIUM,INCOMPLETE_MISSING_OPTIMIZER_STATE
Historical best-Amber projection and richer local-model grid,"reported metrics/complexity summaries","model vectors for metric-only candidates",NO,YES,"cheap refit but prohibited without authorization",MEDIUM,INCOMPLETE_MISSING_MODEL_STATE
FermiNet qualified SR runs,"parameters; walkers; RNG; optimizer configuration; continuation checkpoints; metrics",none identified for qualified checkpointed runs,YES,NO,none,HIGH,REPRODUCIBLE_CHECKPOINT_STATE_PRESENT
Legacy/non-checkpointed FermiNet diagnostic summaries,"reported scalar summaries",exact walker/RNG/optimizer trajectory state for every legacy summary,PARTIAL,YES,"high stochastic compute cost",LOW,INCOMPLETE_MISSING_OPTIMIZER_STATE
Native AmberTools26 three-minimum RESP,"final 56-charge vector; RESP inputs/outputs; regenerated mol2; environment",unified atomic completeness bundle and artifact-level contract receipt,YES,NO,"metadata repackaging only; no refit required",HIGH,INCOMPLETE_MISSING_PROVENANCE
Off-center thiol and vdW development fits,"selected parameters and development metrics","uniform fit bundles with initial state, complete optimizer state/history and prediction mirrors",PARTIAL,YES,"low-cost deterministic development rerun",MEDIUM,INCOMPLETE_MISSING_OPTIMIZER_STATE
Hessian-derived bonded parameters,"Hessians and derived parameter reports/files","uniform per-parameter provenance bundle tying each final topology term to Hessian component and checksum",PARTIAL,NO,"metadata recovery from preserved Hessians",MEDIUM,INCOMPLETE_MISSING_PROVENANCE
