claim_id,exact_claim,paralog,evidence_class,source_id,exact_location,evidence_grade,caveat,status
CLM-001,METTL7B directly methylates H2S TSL L-penicillamine and captopril,B,direct biochemical catalysis,SRC-007,"Table 1; Figs 5-8; Methods pp 9-12",A,"quantitative Km values exist for H2S and TSL but not every positive screening substrate",VERIFIED
CLM-002,METTL7B D98A abolishes measured methylation activity,B,mutant biochemical,SRC-007,"Fig 5C-D; Results section 'METTL7B is an alkyl thiol methyltransferase'",A,"fold and abundance controls were not independently demonstrated for the mutant",VERIFIED
CLM-003,SAH competitively inhibits METTL7B thiol methylation,B,enzyme kinetics,SRC-007,"Fig 6B; Methods p 10",A,"Ki 39 uM; n=2 and no printed uncertainty",VERIFIED
CLM-004,Cysteine and glutathione showed no activity with recombinant METTL7B under the reported screen conditions,B,negative biochemical,SRC-007,"Table 1; Fig 7; Methods p 12",A,"each at 1 mM with SAM 50 uM for 1 h; byproduct assay; glutathione has a retained GST-fusion sequestration caveat; not universal nonsubstrates",VERIFIED
CLM-005,METTL7A is a SAM-dependent recombinant thiol methyltransferase,A,direct biochemical catalysis,SRC-001,"Figs 3-5; Methods pp 13-15; Results pp 22-24",A,"TSL Km 39.41 uM and SAM Km 53.73 uM are single-time endpoint fits; kcat not reported",VERIFIED
CLM-006,DCMB inhibits METTL7A with IC50 1.17 uM,A,functional inhibition,SRC-001,"Fig 3A; Methods pp 13-14",A,"0.07 mg/mL enzyme 50 uM TSL 100 uM SAM 30 min; uncertainty not printed",VERIFIED
CLM-007,METTL7A and METTL7B both contribute to liver microsomal TMT activity,A and B,proteomics genetic perturbation and biochemistry,SRC-001,"Figs 1-2; Results pp 20-22",A,microsomal attribution is composite,VERIFIED
CLM-008,METTL7A-containing preparation transfers d3-SAM methyl to KLF4 and NFKBIA guanosine,A,direct biochemical RNA,SRC-003,Methods lines 412-424 and 447-489; Fig 5,BIOCHEMICAL_A_WITH_CAVEAT,final-supplement reagent equivalence unverified,VERIFIED
CLM-009,The product in the Shentu reaction is chemically resolved d3-m7G,A,LC-MS/MS product identification,SRC-003,"preprint Fig 5b; Methods lines 535-557",BIOCHEMICAL_A_WITH_CAVEAT,exact modified G unresolved,VERIFIED
CLM-010,METTL7A polypeptide alone catalyzes the Shentu m7G reaction,A,polypeptide attribution,SRC-003,"preprint Fig 5b; Methods lines 535-557",A_WITH_ATTRIBUTION_CAVEAT,no mock purification catalytic mutant activity fractionation or turnover proof,PARTIAL
CLM-011,METTL7A directly forms m6A at LOC606724 A481,A,purified biochemical antibody/generic assay,SRC-004,Fig 6c-f and methods,B,no isotope or nucleotide-resolved chemical product,PARTIAL
CLM-012,METTL7A residues 76-172 contain the RNA catalytic site,A,truncation inference,SRC-004,Fig 6d-f,B,interval supports activity but cannot assign catalytic residues,UNVERIFIED
CLM-013,METTL7A directly methylates CORIN adenine N6,A,cellular perturbation/MeRIP,SRC-005,Fig 6,C,no purified isotope-transfer chemistry,UNVERIFIED
CLM-014,METTL7A directly methylates BMP2 adenine N6,A,cellular perturbation/MeRIP,SRC-006,"EXACT_LOCATION = UNRESOLVED",C,no purified isotope-transfer chemistry,UNVERIFIED
CLM-015,Netarsudil inhibits METTL7B with IC50 approximately 40 uM and shows no detectable METTL7A inhibition,A and B,USER/LAB-SUPPLIED functional inhibition,SRC-LAB-001,"Dr. Rheem-supplied matched TSL assay: spheroplast preparation 0.25 mg/mL; 150 uL; TSL 100 uM; SAM 1 mM; D5-TSL 5 uM; 45 min",LAB_EVIDENCE,"raw curves confidence interval A assay ceiling exact series and controls absent; listed DCMB 25 uM role/co-incubation unresolved",PARTIAL
CLM-016,Athena localizes recurrent B ligand interactions to 196/203/205/206/207/210/211,B,computational interaction profiling,SRC-LOCAL-003,"research/mettl7-netarsudil-sar/parent_state/PARENT_INTERACTION_FINGERPRINT.csv and pose-level Athena matrices",COMPUTATIONAL,not binding or inhibition evidence,VERIFIED
CLM-017,METTL7A reroutes through 99/126/151/197/200,A,computational interaction profiling,SRC-LOCAL-003,METTL7A_REJECTION_ANALYSIS.md,COMPUTATIONAL,retained-pose sampling is not balanced rejection sampling,VERIFIED
CLM-018,A B-tolerated feature reliably causing A rejection has been identified,A and B,computational design,SRC-LOCAL-003,METTL7A_REJECTION_ANALYSIS.md,NEGATIVE_RESULT,current corpus contains no positive anti-A example,CONTRADICTED
CLM-019,ONE_METTL7A_POLYPEPTIDE_DIRECTLY_CATALYZES_THIOL_S_M7G_AND_M6A,A,cross-chemistry synthesis,multiple,"SRC-001 Figs 3-5; SRC-003 Fig 5 and preprint Methods lines 535-557; SRC-004 Fig 6c-f",MIXED,direct m6A chemistry and m7G polypeptide attribution remain incomplete,UNVERIFIED
CLM-020,MATCHED_DIRECT_A_B_RNA_METHYLATION_ASSAY,A and B,direct comparative biochemistry,multiple,"EXACT_LOCATION = UNRESOLVED",NEGATIVE_SEARCH,no such primary experiment recovered,UNVERIFIED
CLM-021,Earlier netarsudil parent values of approximately 20 and 30 uM were recorded before the current Dr. Rheem value,A and B,USER/LAB-SUPPLIED historical estimates,SRC-LAB-001,"NETARSUDIL_EXPERIMENTAL_ANCHOR_PROVENANCE.md",LAB_EVIDENCE,"insufficient evidence to determine whether 20 30 and 40 uM came from separate experiments; neither older value is current",PARTIAL
CLM-022,Purified recombinant METTL7B residues 24-244 increases m6A in polyadenylated RNA in a cell-free SAM reaction,B,direct biochemical RNA chemistry,SRC-009,"Fig 2E-F; supplement pp 7-8",A,"baculovirus Hi-5 preparation underwent denaturing IMAC and refolding; no Km kcat enzyme concentration or sequence-defined RNA substrate reported",VERIFIED
CLM-023,METTL7B overexpression increases global m6A in METTL3-knockout cells,B,cellular genetic evidence,SRC-009,Fig 2G-H,A,"supports METTL3 independence in cells but is not purified-polypeptide chemistry",VERIFIED
CLM-024,METTL7B promotes m6A deposition in the FILIP1L 3-prime UTR and affects FILIP1L maturation,B,MeRIP eCLIP mutational and cellular evidence,SRC-009,"Fig 5A-J; Figs S5-S6",B,"strong targeted cellular/genetic evidence; not a sequence-defined purified turnover measurement",PARTIAL
CLM-025,Chen et al. operationally classify netarsudil as a METTL7B agonist/activator based on SPR binding METTL7B-expression induction downstream phenotype and knockout dependence,B,docking SPR cellular expression phenotype and in-vivo evidence,SRC-009,"Fig 8E-K; Fig S8; supplement SPR Methods pp 22-23",B,"operational label; no direct catalytic activation assay and no netarsudil arm in purified poly(A)-RNA TSL captopril/thiol or direct-product assays",PARTIAL
CLM-026,METTL7B promotes NSCLC proliferation and tumorigenesis,B,cellular and xenograft phenotype,SRC-012,"Figs 1-6; Results sections 'METTL7B is required for NSCLC cell proliferation' through xenograft/transcriptomic analyses",A,"the 2020 paper explicitly did not establish methylation activity and cannot support RNA catalysis",VERIFIED
CLM-027,METTL7B directly methylates TKT mRNA at m6A,B,cellular MeRIP/expression phenotype,SRC-011,"main Fig 7; Fig S5",C,"CELLULAR_M6A_ASSOCIATION + MeRIP_DEPENDENT + GENETICALLY_INFERRED; no purified METTL7B/TKT RNA isotope-transfer or chemically resolved direct catalytic assay",UNVERIFIED
CLM-028,METTL7B directly methylates ACSL3 mRNA at m6A,B,cellular m6A-IP-RT-qPCR and rescue,SRC-010,Fig 4,C,"predicted sites and cellular MeRIP do not establish direct methyl transfer by purified METTL7B",UNVERIFIED
CLM-029,METTL7B regulates glioblastoma lineage and histone/DNA epigenetic states,B,cellular organoid xenograft transcriptomic and chromatin evidence,SRC-013,Figs 1-5 and supplement,A,"does not demonstrate RNA methyltransferase catalysis",VERIFIED
CLM-030,The Shentu in-vitro m7G assay used HA-METTL7A purified from transfected HEK293T cells with a no-METTL7A control and d3-SAM,A,direct biochemical RNA methods,SRC-003,"preprint Methods lines 535-557 and Fig 5b",A_WITH_ATTRIBUTION_CAVEAT,"2 ug full transcripts plus 2 ug preparation in 160 uL at 16 C overnight; no mock-transfected purification catalytic mutant or METTL7B comparator",VERIFIED
CLM-031,Netarsudil produced an SPR binding signal with immobilized recombinant METTL7B and Chen Fig 8E reports a 1-to-1-fit KD of 9.53 mM,B,SPR binding signal and quantitative reliability,SRC-009,"Fig 8E; supplement SPR Methods pp 22-23",B,"NETARSUDIL_SPR_BINDING_SIGNAL = REPORTED; NETARSUDIL_SPR_KD_9_53_MILLIMOLAR = REPORTED_BUT_POORLY_CONSTRAINED because the fit is about 95-fold above the maximum tested 100 uM analyte concentration",VERIFIED
CLM-032,Purified recombinant METTL7A and METTL7B each form monomethylated romidepsin from reduced romidepsin in a SAM-dependent reaction,A and B,direct biochemical thiol product,SRC-002,"Fig 5B; Methods 'In vitro methylation of romidepsin'; Results 'METTL7A and METTL7B methylate romidepsin'",A,"single estimated approximately 500 uM substrate concentration; methylated sulfur and kinetics unresolved",VERIFIED
CLM-033,Human mouse rat zebrafish and chicken TMT1A ortholog overexpression yields cellular dimethylated romidepsin and resistance to thiol HDAC inhibitors,A,cellular direct product and pharmacological phenotype,SRC-008,"Figs 2A-B and 5; Methods 'Growth inhibition assays' and 'Analysis of romidepsin and dimethyl-romidepsin'",A,"cellular evidence; not purified-enzyme catalysis for KD5170 or NCH-51",VERIFIED
CLM-034,TSL_KINETIC_COMPETENCE_A_AND_B = BOTH_ESTABLISHED and netarsudil paralog selectivity is not explained simply by one paralog lacking TSL activity,A and B,bounded cross-study kinetic interpretation,"SRC-001; SRC-007","SRC-001 Fig 4C; SRC-007 Fig 8A",A,"Russell 2023 direct-product Km values A 39.41 uM and B 32.50 uM; Maldonato 2021 B byproduct Km 48.9 +/- 5.5 uM; cross-assay equality and inhibitor mechanism are not inferred",VERIFIED
