system,substrate_or_probe,METTL7A_evidence,METTL7B_evidence,matched_direct_comparison,selectivity_status,limitation
thiol,TSL,productive,productive,yes,shared,cell/recombinant conditions vary across studies
thiol,captopril,productive,productive,yes,shared,matched catalytic efficiencies incomplete
inhibitor,DCMB,strong inhibition; reported IC50 1.17 uM,no comparable inhibition,yes,A-favored,mechanism remains distributed
HDAC-thiol,ST7612AA1/ST7464AA1,NOT_TESTED,NOT_TESTED,no,unresolved,"inherited naming/provenance conflict; neither audited 2024 paper establishes this assignment"
HDAC-thiol,KD5170,cellular resistance only,cellular resistance only,yes,A phenotype stronger,"no purified-substrate/direct-product comparison"
HDAC-thiol,"largazole; OKI-005",cellular resistance only,weaker or compound-dependent cellular resistance,yes,A-favored phenotype,"cellular phenotype is not catalytic substrate proof"
HDAC-thiol,reduced romidepsin,"purified direct monomethylated product; cellular dimethylated product; resistance","purified direct monomethylated product; cellular dimethylated product; weaker resistance",yes,both directly active,"single concentration; no kinetic series; methylated sulfur unresolved"
HDAC-thiol,NCH-51,"conserved cellular resistance across human mouse rat zebrafish chicken TMT1A orthologs",not tested,no,A-only conservation evidence,"no purified-enzyme/direct-product assay for NCH-51"
inhibitor,netarsudil,no detectable inhibition in Dr. Rheem-supplied matched TSL assay,IC50 approximately 40 uM in supplied matched TSL assay,yes,B-selective USER/LAB-SUPPLIED,"assay recipe supplied; raw curves confidence interval and A assay ceiling absent from repository"
RNA,KLF4/NFKBIA,d3-m7G with METTL7A-containing preparation,not tested,no,unknown,no matched B counter-reaction
RNA,m6A transcript claims,Grade B biochemical maximum plus Grade C cellular evidence,no matched direct evidence,no,unknown,no chemically resolved matched A/B product assay
