BUG_ID,ROOT_CAUSE,AFFECTED_CODE,AFFECTED_ARTIFACTS,SCIENTIFIC_IMPACT,FIX,REGRESSION_TEST,RETROSPECTIVE_IMPACT,FINAL_STATUS
BUG-01_AMIDE_CARBONYL_MISCLASSIFICATION,"Amide carbonyl oxygen was grouped by an over-broad oxygen-facing label","validate_trio.py feature classifier","superseded anti-A report and trio tables","Created false positive ethyl/K151 interpretation","Release validator uses explicit chemical feature classes and directed K151 geometry","Release rerun yields no directed-oxygen reduction","Prior positive ethyl conclusion INVALID; preserved as superseded history",FIXED_TESTED
BUG-02_LOOSE_K151_RESIDUE_DISTANCE,"Nearest distance to any residue atom was treated as directed recognition","validate_trio.py","superseded anti-A report","Conflated proximity with interaction","Separate NZ side-chain-heavy and backbone distances","Release pose metrics contain all three fields","Prior K151 claim INVALID",FIXED_TESTED
BUG-03_K151_NZ_GEOMETRY_MISSING,"No donor-acceptor geometry to Lys NZ/HZ","validate_trio.py","superseded anti-A report","Could not support side-chain-directed oxygen claim","Frozen Athena H-bond distance/angle geometry applied","Release validator recomputes NZ-H-A geometry","Historical proximity rows SUPERSEDED",FIXED_TESTED
BUG-04_K151_SIDECHAIN_BACKBONE_CONFLATION,"Backbone and side-chain atoms were pooled","validate_trio.py","superseded anti-A report","Misassigned interaction direction","Emit separate backbone and side-chain metrics","Field-level release receipt audit","Historical K151 label INVALID",FIXED_TESTED
BUG-05_LIGAND_FEATURE_CLASS_NOT_EXPLICIT,"Ligand atom element alone substituted for chemical role","validate_trio.py","superseded anti-A report","Amide/ether and other acceptors became indistinguishable","Feature classifier emits ether carbonyl amide donor carbon aromatic and other roles","Amide carbonyl negative-control behavior in release rerun","Old oxygen-facing classifications INVALID",FIXED_TESTED
BUG-06_B_AVAILABILITY_MISLABELED_AS_PRESERVATION,"Any B-compatible pose was labeled preserved","validate_trio.py","preliminary anti-A report","Overclaimed candidate equivalence","Availability preservation and equivalence are separate outputs","Release receipt reports availability true and equivalence unevaluated","Prior B-preserved claim SUPERSEDED",FIXED_TESTED
BUG-07_B_PARENT_EQUIVALENCE_TOO_PERMISSIVE,"No prospective multidimensional equivalence margins existed","validate_trio.py","preliminary anti-A report","Unsupported parent-equivalence conclusion","Equivalence verdict removed from release claim and explicitly UNEVALUATED","Release receipt must emit unevaluated absent frozen margins","Prior equivalence claim INVALID",FIXED_TESTED
BUG-08_SINGLE_SEED_TEST_WRONG,"Candidate-zero-everywhere criterion replaced matched parent comparison","validate_trio.py","preliminary anti-A report","Did not measure within-seed effect","Emit candidate-minus-parent delta for seeds 1 7 42","Matched-seed CSV requires all three seeds","Pooled anti-A claim SUPERSEDED",FIXED_TESTED
BUG-09_POOLED_ALKYL_ORDERING,"Pooled fractions were treated as methyl/ethyl/isopropyl SAR","validate_trio.py","preliminary anti-A report","Ignored seed and family structure","Ordering requires within-seed and defensible family correspondence; otherwise UNEVALUATED","Release validator refuses absent correspondence","Prior non-monotonic SAR INVALID",FIXED_TESTED
BUG-10_POSES_AS_INDEPENDENT_OBSERVATIONS,"Retained Vina modes were treated as replicate populations","validate_trio.py","preliminary anti-A report","Inflated apparent sample size","Raw-pose counts and pose-family summaries separated","Pose-family table and seed counts regression","Earlier frequency inference REQUIRES_RECOMPUTATION",FIXED_TESTED
