strategy,requirement,evidence_kind,decision,records,protocol,evidence_hashes,scientific_reason
"forcebalance-style","Cartesian forces","force targets","GENERATE_NEW","0","one common prospective QM protocol","","canonical records contain minima Hessians and energies but not a prospective force-training cloud"
"forcebalance-style","Hessian curvature","curvature targets","REUSE_EXISTING","3","PBE-D3(BJ)/def2-SVP","4c84ee2402a3d849faf1da5294a18718e00aa35e0ed482a960b9c784bee5d8e8;a3313240b3c3f88080546320e640584d19ce6fd92bfb33e366ecb6ab1bfdbeff;dd67ad3b9a4a4b357439c23c6f4111e154e06ee2aea9533ca1d29583b3f9a73f","three authoritative Hessians provide curvature targets"
"forcebalance-style","conformational energies","energy targets","DERIVE_FROM_EXISTING","32","within protocol groups only","07a74edf32dd6801e9946669f1c2773eb3c0c6d1425496a3f217e2b91acaa304;14dd0d120cec90d3762e80d68330bcc4690564a811101ef95ce6e74fad8b7c34;19a66164dd670260946e42b0b504afd9d78838b5c2e2ef291c2f6c17d1bedb70;1b63f9fbf15ce92193d0304144d00e63d9a6bd72ebda10920fae0c279e21eafd;3b3e2d38ff762099a412ee2e812c9cf8b549e5c6d3e09abbe176a5f63864f059;40365d5417613906aab7f5d67be9bdecbe0c469ba9cd45c8d25595e999918ad8","05H/05L cannot be pooled across materially different methods"
"forcebalance-style","executable initial force field","model definition","GENERATE_NEW","0","declared coupled-capable form","","the failed V2/local-GAFF2 repair lineage cannot be the clean-slate model centre"
"forcebalance-style","interaction energies","nonbonded validation","RESERVE_AS_HOLDOUT","34","PBE0-D3(BJ)/def2-TZVP counterpoise","007a9a9a0e38cb54bb62dd9d82a498a909e084549f431a11d6f9cdb2f4ea52ee;01ae273cfc41f4e0728a7f258f3d65a6489e9a0ac907f72e206101c12e98c8f3;03affe4f312d389974b86ae3ec62122bce659768367c1518b49dd6d6223fac36;060009ccdd3eb569c82df5a2e76cbcc557c908e201efce36b14c8342b71f2a1b;073b3709af5062679da6193967f0d518a33162cd85a0479b91916d6d2312e2ea;0b54f1ba2c3dc82a6f7ec6aad53959a184442385af5fd771c42ab797dfb0505f","geometry-valid accepted probes stay independent of training"
"forcebalance-style","sealed validation family","validation","RESERVE_AS_HOLDOUT","66","entire MIN04 and independent probes","","holdout is frozen before parameter exposure"
"qforce-like","Cartesian Hessian","bonds;angles","REUSE_EXISTING","3","PBE-D3(BJ)/def2-SVP","4c84ee2402a3d849faf1da5294a18718e00aa35e0ed482a960b9c784bee5d8e8;a3313240b3c3f88080546320e640584d19ce6fd92bfb33e366ecb6ab1bfdbeff;dd67ad3b9a4a4b357439c23c6f4111e154e06ee2aea9533ca1d29583b3f9a73f","three matching Hessians are authoritative"
"qforce-like","common atomic charges","fixed charges supplied;not solved by Q-Force","REUSE_EXISTING","1","HF/6-31G(d) multiconformer RESP","ee5896224e99b0cb8761e2bf2e6f9059fe594d063594912b2654ee2e67717499","accepted three-conformer RESP is independently justified but retains documented limitations"
"qforce-like","functional-form compatibility","scientific gate","INCOMPATIBLE_EXISTING","39","existing diagnoses","","ANGLE_LJ_COUPLED_DEFECT_SUPPORTED and HARMONIC_BONDED_FORM_INSUFFICIENT contradict an uncoupled harmonic solution"
"qforce-like","independent conformer validation","validation","RESERVE_AS_HOLDOUT","32","existing higher-level evidence","","an entire minimum and cross family remain sealed"
