evidence_hash,field_name,historical_value,recovered_value,classification,source_path,source_sha256,locator,extraction_method,rationale,discrepancy
"001db5c802265a474735a952dd067ad94b32f8766089786acbda372d3b079242","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-13/13_MIN01_O3_ACCEPTOR_1.7/dimer.log","54033c0bfaab1af13ceaf0ee525a6e08f781b5484e9913cbeb29e27a81f39869","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"001db5c802265a474735a952dd067ad94b32f8766089786acbda372d3b079242","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-13/13_MIN01_O3_ACCEPTOR_1.7/dimer.log","54033c0bfaab1af13ceaf0ee525a6e08f781b5484e9913cbeb29e27a81f39869","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"028173eca4d906a81be2978833fb5d4d3a5e417e21dbdd36a0004c1d6b162af2","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"080e915242aa3b0841dfdc2f35abafdc3c41c7923a3bf5625751459efe0afd42","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"080e915242aa3b0841dfdc2f35abafdc3c41c7923a3bf5625751459efe0afd42","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"087ecccbbb0849a11068508cf83d079c68c0218565fae4ac38a43749022e1eb8","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05M/points/M-D03/input.json","d71c0300f7eb06a83249f3922c65082ea05521ecc3851df5ad9f1e9697afbb46","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"087ecccbbb0849a11068508cf83d079c68c0218565fae4ac38a43749022e1eb8","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05M/points/M-D03/input.json","d71c0300f7eb06a83249f3922c65082ea05521ecc3851df5ad9f1e9697afbb46","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"0c40031a8d34a9b7d5e0f5074e77b79ab6c92b37b24967e2a9f8e25e325f25bc","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/replacement-sh-donor-qm-local/MIN04_SH_DONOR_2.8A/result.json","9995a5f397ff46bc483001bb1c461d334a5abb601ca8c27bda2842c3242c236f","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"0db72c6b2a00a8568a5f3ee7cd928d7c474967c7306124fb053c21818fd1c3d5","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-17/17_MIN02_SH_DONOR_2.1/dimer.log","6b8c3270fdb7b90952ff0b8957a8e316a33073f92b6d90fecd2b0074976bf36b","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"0db72c6b2a00a8568a5f3ee7cd928d7c474967c7306124fb053c21818fd1c3d5","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-17/17_MIN02_SH_DONOR_2.1/dimer.log","6b8c3270fdb7b90952ff0b8957a8e316a33073f92b6d90fecd2b0074976bf36b","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
