Interaction,PLIP candidate construction,PLIP geometric tests,PLIP dedup,PLIP precedence/exclusions,PLIP edge cases,Athena perception available,Athena geometry available,Equivalent?,Gap,METTL7 priority
Hydrophobic contacts,"C atoms whose bonded neighbors subset of {C,H}; independently for binding site and ligand (preparation.py:553-565)","BS x ligand pairs; 0.5 < d < 4.0 A exclusive (detection.py:44-64); no angle","per-(ligand atom, residue number) keep closest; then per-BS-atom bonded-cluster patches keep single closest (preparation.py:913-991)","runs AFTER pi-stacking; ring-member C-C pairs of detected pi-stacks dropped","cluster branch silently drops isolated single-atom contacts; residue-number-only key (no chain); first-seen wins ties","HydrophobicAtomPerception (PLIP rule + AD4 fallback, provenance-tagged) - NEW athena.interaction.perception","Point3D distance; ResidueGraph/AtomCellIndex for candidate pairs","Planned","detector + refinement (pi-stack exclusion, per-atom-residue closest, patch clustering)",HIGH (DCMB wall F43/Y47/F199 analysis depends on it)
Hydrogen bonds,"acceptors = non-halogen IsHbondAcceptor; donors = IsHbondDonor + each bonded IsHbondDonorH neighbor; weak C-H donors perceived but never used (dead code)","heavy-atom D...A only: 0.5 < d < 4.1 A; A...H distance computed but never gated; angle at H: vecangle(H->D, H->A) > 100 deg strict (detection.py:67-111)","one H-bond per donor heavy atom, keep largest angle-at-H, first-seen wins ties; no acceptor-side dedup","runs AFTER salt bridges; donor+acceptor atom pairs of any salt bridge excluded (preparation.py:993-1045)","multiple H per donor -> best-angled H wins; ligand donors re-perceived on protonated complex (preparation.py:1273-1293)","AD4 typing (HD/NA/OA/SA) via hephaestus; donor pairing 1.35 A in DefaultLigandInteractionAnalyzer","Vector3D angle; existing D-H-A angle helper","Functionally yes, numerically stricter (Athena 2.5/3.5/120 vs PLIP -/4.1/100)","keep Athena defaults; add PLIP-style one-per-donor + salt-bridge-exclusion refinements; PLIP thresholds injectable for validation",HIGH (already done; extend refinements only)
Parallel pi stacking,"SSSR rings size 5-6; qualify if aromatic OR residue in {TYR,TRP,HIS,PHE} OR planar (5 deg pairwise normals); normal from probe atoms 0-2 x 4-0; center = centroid (preparation.py:599-636)","0.5 < d(centers) < 5.5; a = min(theta,180-theta); offset = min of both mutual center-into-plane projections; parallel: 0 < a < 30 AND offset < 2.0 (detection.py:114-151)","none beyond one record per ring pair","pi-cation refinement consumes stacking results (HIS suppression); hydrophobic refinement drops ring-member pairs","exactly identical normals -> vecangle 0.0 -> strict 0 < a rejects perfect parallel stack; angles in [30,60] yield nothing","AromaticRingPerception (protein templates PHE/TYR/TRP/HIS + ligand 5/6-cycles, provenance-tagged) - NEW","Plane3D (least-squares fit, canonical normal, projection, angleToDegrees) - NEW gaia.geometry","Planned (stage12j one-off is near-equivalent with offset 2.5 instead of 2.0)","detector using Plane3D + AromaticRingPerception",HIGH (Y47/F43/F199 aromatic network)
T-shaped pi stacking,"same ring sets as parallel","same distances; T-shaped: 60 < a < 120 (90 +/- 30 folded to [0,90]) AND offset < 2.0 - offset enforced for T-shaped too (detection.py:143-145)","none","same as parallel","folded angle caps at 90; [30,60] dead band between classes","same as parallel","same as parallel","Planned","same detector, T_SHAPED branch",HIGH (Tyr47 edge-face geometry is a campaign observable)
Pi-cation,"protein positive = ARG/HIS/LYS sidechain N centroid (HIS always positive, no protonation check); ligand positive = quartamine/tertamine/sulfonium (central atom coords), guanidine (central C)","0.5 < d(ring center, charge center) < 6.0 AND offset < 2.0 (charge center into ring plane, strict); tertamine special: ring-normal vs amine-normal folded <= 30.0 (exactly 30 accepted) (detection.py:154-203)","refine_pication: drop if charged residue is HIS and same HIS ring stacks same counterpart ring","runs AFTER pi-stacking; HIS stacking wins over pi-cation","tertamine branch breaks after first tertamine per ring - later charges never tested; residue-number-only key","ChargedGroupPerception (protein templates + carboxylate/guanidinium/amine/sulfonium, provenance-tagged) - NEW","Plane3D projection + distance","Planned","detector + HIS/stacking exclusion; decide on tertamine break quirk (recommend: evaluate all, document deviation)",MEDIUM (LYS/ARG near pocket; DCMB amine is cationic)
Salt bridges,"protein + = ARG/HIS/LYS sidechain N centroid; protein - = ASP/GLU sidechain O centroid; ligand + = quartamine/tertamine/sulfonium/guanidine central atom; ligand - = phosphate/sulfonic acid/sulfate central atom, carboxylate = centroid of the 2 O","0.5 < d(center-of-charge, center-of-charge) < 5.5 strict; never per-atom (detection.py:206-224)","inherent: one record per (group, group) pair; at most one + and one - group per protein residue","runs FIRST; suppresses H-bonds sharing donor/acceptor atoms; feeds HIS pi-cation rule","HIS unconditionally positive; peptide-ligand mode uses residue rules instead of functional groups","ChargedGroupPerception - NEW (degraded fallback = per-residue charge sum >= 0.5 e matches legacy heuristic)","Point3D distance; centroids","Not currently (legacy: 4.0 A closest heavy pair + whole-residue charge sum)","upgrade DefaultLigandInteractionAnalyzer.saltBridge to charged-group centers; keep legacy behavior only if a regression consumer needs it",MEDIUM (DCMB cationic amine x ASP/GLU)
Halogen bonds,"donors: ligand-only X in {F,Cl,Br,I} bonded to exactly one C (halocarbon); acceptors: O/N/S with exactly one bonded neighbor in {C,N,P,S}, H not counted (backbone C=O and Ser/Thr/Tyr OH qualify; ether O excluded; water O cannot accept)","0.5 < d(O,X) < 4.0; acceptor angle at O (O->Y vs O->X): 90 < a < 150 (120 +/- 30); donor angle at X (X->O vs X->C): 135 < a <= 180 (165 +/- 30); strict (detection.py:227-256)","none beyond acceptor x donor product","none (no refinement pass)","unidirectional ligand->protein only","ChargedGroupPerception n/a; halocarbon rule trivial over gaia bond graph (Element.isHalogen exists); acceptor rule needs bond graph","Vector3D 3-point angles; Point3D distance","Planned","donor/acceptor perception + 2-angle detector",MEDIUM-HIGH (DCMB is dichlorinated; Cl contacts currently miscounted as hydrophobic)
Water bridges - NOT IMPLEMENTED,"water O + donor/acceptor sets","both A-Ow and D-Ow in [2.5,4.1]; omega 71-140; theta > 100","max 2 per water; donor already in H-bond excluded","consumes refined H-bonds","-","-","-","N/A","intentionally not built (no explicit waters in campaign)",NOT NEEDED for METTL7
Metal coordination - NOT IMPLEMENTED,"metal whitelist; binding atoms per residue/functional-group rules","d < 3.0; coordination geometry matched to ideal angle signatures CN 2-6 by RMS","water-only complexes discarded","last in pipeline","-","-","-","N/A","intentionally not built (no metals in METTL7)",NOT NEEDED for METTL7
Generic protein-ligand contacts,"two-pass binding-site preselection: residue centroid < ligand max-dist + 7.5, then atoms <= 7.5 A to any ligand atom","distance only","n/a","preselection precedes all detectors","pass-1 strict, pass-2 inclusive","n/a","FULL: DefaultContactAnalyzer (4.5/8.0 A shells), PocketGeometry, ResidueGraph/AtomCellIndex","Functionally yes (different cutoff philosophy)","none - consolidate 12+ one-offs onto DefaultContactAnalyzer",HIGH (already done; consolidate)
